#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,xinit,"starts the graphical server."
V,xdg-utils,"are filetype utilities."
V,libX11-devel,"is required for the compilation of some programs."
,sxhkd,"binds keys."
V,libXft-devel,"is required for the compilation of some programs."
V,gcr-devel,"is required for the compilation of some programs."
V,fontconfig-devel,"is required for the compilation of some programs."
,ttf-source-code-pro,"is a monospace font."
,ttf-source-sans-pro,"is a sans serif font."
,ttf-source-serif-pro,"is a serif font."
,ttf-crimson,"is a serif font."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
V,xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
V,dbus,"facilitates inter-process communication."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,i3blocks,"is the status bar."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
V,font-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and dropdown window."
,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
V,xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
A,simple-mtpfs-git,"enables the mounting of cell phones."
V,simple-mtpfs,"enables the mounting of cell phones."
V,setxkbmap,"allows LARBS's unique keyboard bindings."
V,xmodmap,"allows LARBS's unique keyboard bindings."
V,xsetroot,"sets status bar and other X properties."
V,xset,"allows speeding up the X rate."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
#the following has been added by dgcampbe
,0 A.D.,"is a civ-like 4X game."
,aalib,"is graphics to ASCII."
,anaconda,"is a bundle of many python packages."
,arch-wiki-man,"is the Arch wiki as man pages."
,Arduino IDE,"is a an IDE for the Arduino."
,Atom,"is a text editor made by GitHub."
,avidemux,"is an audio editor."
,bpython,"is a python tool."
,ddgr,"is DuckDuckGo in the terminal."
,deluge,"is a torrent manager."
,discord,"is the voice chat app of choice."
,Eclipse,"is an IDE."
,emacs,"is a text editor."
,Firefox,"is a browser."
,fontforge,"is a font editor."
#toys
,fortune-mod-doctorwho-classic-series,"is a toy."
,fortune-mod-doctorwho-new-series,"is a toy."
,fortune-mod-ferengi_rules_of_acquisition,"is a toy."
,fortune-mod-firefly,"is a toy."
,fortune-mod-futurama,"is a toy."
,fortune-mod-matrix,"is a toy."
,fortune-mod-montypython,"is a toy."
,fortune-mod-portal,"is a toy."
,fortune-mod-portal2,"is a toy."
,fortune-mod-protolol-git,"is a toy."
,fortune-mod-quantumleap,"is a toy."
,fortune-mod-starwars,"is a toy."
,fortune-mod,"is a toy."
,freac,"is an audio editor."
,freeciv,"is a civ-like 4x game."
,gitbook-editor,"is git for books."
,github-cli,"is a command line utility for GitHub."
,gitter,"is a messenger for GitHub projects."
,GNU Image Manipulation Program,"is a raster image editor."
,gnuplot,"is a CAS."
,GParted,"manages partitions."
,haskell,"is a functional language."
,Inkscape,"is a graphics editor."
,jaxodraw,"draws Feynman diagrams."
,KeePass,"is a password manager."
,Krita,"is a graphics editor."
,LibreOffice,"is an office suite."
,lightspeed,"simulates relativistic effects."
#Reaper
,midicsv,"translates midi to csv and vice versa."
,Musescore 3,"is a score writer."
,Netbeans,"is an IDE."
,OBS,"allows for streaming."
,octave,"is a CAS."
,Pidgin,"is a messenger."
,pioneer,"is a space video game."
,qucs,"is a circuit simulator."
,R,"ìs a statistic analysis tool."
,Redshift,"reduces eye strain."
,rstudio,"is an IDE for R."
,rustup,"sets up Rust."
,sagemath-git,"is a CAS."
,sagemath,"is a CAS."
,scilab,"is a CAS."
,sl-git,"trains you not to mistype ls using trains."
,steam,"is a game library."
,stellarium,"is a planetarium program."
,Supercollider IDE,"is an IDE for Supercollider."
,synfigstudio,"is a graphics editor."
,Virtualbox,"houses virtual machines."
,VLC,"is a media player."
,warzone 2100,"is an RTS game."
,XScreenSaver,"is a screensaver distribution."
,tcpdump,"is a network sniffer."
